server_id,user_id
BBG000BH0106,NYSE:BX
BBG00P19DKZ6,NYSE:CHWY
BBG00MRHG523,NYSE:STE
BBG00M4ZQDK0,NASDAQ:STNE
BBG00M4RHBD0,NYSE:RVLV
BBG00M1CKSK7,NYSE:SWI
BBG00LWZDYB9,NYSE:ESTC
BBG00LSD4456,NYSE:FTCH
BBG00LNJRQ09,NYSE:AMCR
BBG00LJYS1P8,NYSE:ELAN
BBG00LBLD3F7,NYSE:SDRL
BBG00L7XTP60,NASDAQ:TLRY
BBG00KXRCDP0,NYSE:CI
BBG00KR691K8,NASDAQ:CVET
BBG00KMXKWF9,NYSE:PRSP
BBG00KHY5S69,NASDAQ:AVGO
BBG00JR5MM31,NASDAQ:SGMS
BBG00JPGYW43,NYSE:ST
BBG00JMZD4P6,AMEX:DPW
BBG00JM9XLN6,NYSE:NTR
BBG00JM7QBR6,NYSE:PAGS
BBG00JH9TZ56,NYSE:APY
BBG00J7CBVW8,NYSE:EQH
BBG00HCY3Q67,NYSE:WH
BBG00HBQ35R8,NYSE:TDW
BBG00H433CR2,NYSE:EVRG
BBG00GVR8YQ9,NYSE:LIN
BBG00GTWPCQ0,NYSE:DLPH
BBG00GSNPM07,NYSE:JHG
BBG00GQK3WB5,NYSE:SMAR
BBG00GNT7999,NYSE:NVT
BBG00GFMPRK0,NYSE:ATUS
BBG00GD1JMV4,NYSE:HCC
BBG00GCTWDJ3,NYSE:CVNA
BBG00GBVBK51,NYSE:BHGE
BBG00GBV88T6,NYSE:BTU
BBG00G41B914,NYSE:GOOS
BBG00FZYFVC5,NYSE:DK
BBG00FN64XT9,NYSE:DXC
BBG00FJDD048,NYSE:KEG
BBG00FFBF302,AMEX:GDP
BBG00DYPZ4T0,NASDAQ:BHF
BBG00DYNJGH9,NYSE:ARNC
BBG00DXDL6Q1,NYSE:VST
BBG00DL8NMV2,NYSE:FTI
BBG00DDZZ1Z0,NASDAQ:THOR
BBG00DBBGRX1,NASDAQ:CRSP
BBG00D1WLVH9,NASDAQ:TIVO
BBG00D1WHZD9,NYSE:HTZ
BBG00D1PMS80,NASDAQ:CRON
BBG00D0Y81M1,NYSE:ASH
BBG00CW2JCN1,NYSE:ATH
BBG00CVQZQ96,NYSE:ITT
BBG00CC0GTP1,NASDAQ:ROSE
BBG00CBYY6M1,NYSE:HGV
BBG00C6H6D40,NYSE:USFD
BBG00C1BZMT9,NYSE:CNDT
BBG00BN969C1,NYSE:CTVA
BBG00BN96922,NYSE:DOW
BBG00BLVZ228,NYSE:FTV
BBG00BDQ1H13,NASDAQ:TEAM
BBG00BBHBMF8,NYSE:VSM
BBG00B8N0HG1,NYSE:YUMC
BBG00B6WH9G3,NASDAQ:MTCH
BBG00B6BFWH9,NYSE:CCEP
BBG00B3T3HD3,NYSE:AA
BBG009S39JX6,NASDAQ:GOOGL
BBG009PN0C87,NYSE:ADNT
BBG009PH3Q86,NYSE:RACE
BBG009H04M17,NYSE:PLNT
BBG009DTD8H2,NYSE:UA
